"contrast","AVISITN","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"Esk56_vs_Placebo","28",-0.841383504737517,0.0991980558835159,650.97474478386,-1.03617027912109,-0.646596730353944,-8.48185478277435,1.48838136661283e-16
"Esk84_vs_Placebo","28",-0.798324464183115,0.0790564407014281,595.888453505775,-0.953587598970786,-0.643061329395445,-10.0981584435118,3.0723501253635e-22
